,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
economic_pressure_tides_wind_trend,0,-505.14924641536294,6.423942015932937,0.0,0.5918905736563425,12.40763725577069,0.0,False,log
economic_pressure_wind_travel_speed_trend,1,-505.2024130692747,6.455937377837529,0.05316665391181452,0.0,12.358916614836463,0.41688189955757105,False,log
full,2,-506.2209708273694,7.5440079342700415,1.071724412006482,4.79353135792755e-14,12.420509535158187,0.36257250979381145,False,log
economic_tides_wind_travel_speed_trend,3,-508.2920383917534,7.405994081644735,3.1427919763904804,5.782408135085004e-14,12.214900023264534,0.6902122274265865,False,log
economic_pressure_tides_wind,4,-508.5913265299247,5.201796394272833,3.442080114561726,0.2853806055039584,12.05237963634804,3.4505564017667063,False,log
economic_pressure_tides_wind_travel_speed,5,-509.7924495998649,6.348005083939597,4.643203184501999,4.580750441893915e-14,12.010172441221158,3.4795978713660984,False,log
pressure_tides_wind_travel_speed_trend,6,-517.7228565572825,6.510341766392401,12.573610141919682,0.1227288208397285,12.501788526462382,5.259814185012184,False,log
economic_pressure_tides_travel_speed_trend,7,-541.4855842448933,5.556286589283673,36.33633782953027,0.0,11.141167899391741,8.021655589352967,False,log
