,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.803,0.98,3.009,6.844,0.015,0.01,4368.0,5541.0,1.0
economic_coef,0.547,0.108,0.34,0.767,0.002,0.001,3932.0,4558.0,1.0
pressure_coef,2.41,0.195,2.026,2.787,0.002,0.002,6719.0,5968.0,1.0
trend_coef,0.033,0.009,0.014,0.051,0.0,0.0,4439.0,5466.0,1.0
coef_gc_hadisst,-0.14,0.258,-0.651,0.367,0.003,0.003,7274.0,6696.0,1.0
sigma,1.838,0.085,1.675,2.007,0.001,0.001,6275.0,5840.0,1.0
