,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.316,2.03,1.35,9.339,0.034,0.024,3526.0,4196.0,1.0
economic_coef,0.865,0.052,0.767,0.969,0.001,0.001,6478.0,5717.0,1.0
pressure_coef,-3.486,1.789,-6.98,-0.057,0.028,0.019,4044.0,5317.0,1.0
wind_speed_coef,3.983,0.429,3.19,4.863,0.006,0.004,5134.0,5722.0,1.0
sigma,1.969,0.092,1.797,2.153,0.001,0.001,5962.0,5688.0,1.0
