,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2.523,0.743,1.062,3.954,0.013,0.009,3490.0,4148.0,1.0
economic_coef,-0.108,0.048,-0.206,-0.016,0.001,0.001,3854.0,4636.0,1.0
pressure_coef,2.323,0.188,1.968,2.699,0.003,0.002,5094.0,4727.0,1.0
sigma,1.872,0.085,1.707,2.039,0.001,0.001,5909.0,5620.0,1.0
