,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.634,2.731,3.052,13.667,0.036,0.027,5687.0,5952.0,1.0
economic_coef,0.52,0.111,0.305,0.74,0.001,0.001,5991.0,6469.0,1.0
pressure_coef,-3.184,2.527,-8.06,1.753,0.033,0.025,5735.0,6004.0,1.0
tides_coef,-0.0,0.003,-0.007,0.006,0.0,0.0,10417.0,7399.0,1.0
wind_coef,-0.406,0.967,-2.215,1.526,0.013,0.011,5857.0,6374.0,1.0
travel_speed_coef,-0.005,0.26,-0.529,0.495,0.003,0.003,9498.0,7180.0,1.0
trend_coef,0.033,0.009,0.015,0.052,0.0,0.0,5822.0,6624.0,1.0
ib_coef,2.433,0.463,1.525,3.344,0.006,0.005,5661.0,6169.0,1.0
sigma,1.845,0.085,1.682,2.012,0.001,0.001,10593.0,7159.0,1.0
