,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.471,1.115,3.298,7.662,0.019,0.013,3579.0,4659.0,1.0
economic_coef,0.509,0.108,0.288,0.71,0.002,0.001,3066.0,4298.0,1.0
wind_coef,-0.427,0.982,-2.313,1.505,0.016,0.011,3803.0,4424.0,1.0
trend_coef,0.034,0.009,0.017,0.053,0.0,0.0,3649.0,5277.0,1.0
ib_coef,2.537,0.458,1.621,3.417,0.007,0.005,3873.0,4427.0,1.0
sigma,1.84,0.086,1.675,2.011,0.001,0.001,5982.0,5827.0,1.0
