,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.647,0.669,8.338,10.976,0.01,0.007,4125.0,5158.0,1.0
pressure_coef,2.613,0.468,1.652,3.484,0.007,0.005,3905.0,5002.0,1.0
wind_coef,-0.58,0.995,-2.431,1.486,0.017,0.012,3555.0,4391.0,1.0
trend_coef,0.073,0.004,0.065,0.082,0.0,0.0,5443.0,5677.0,1.0
sigma,1.93,0.089,1.761,2.106,0.001,0.001,6186.0,5152.0,1.0
