,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.51,2.728,4.237,14.855,0.042,0.028,4131.0,5003.0,1.0
economic_coef,0.543,0.113,0.324,0.763,0.002,0.001,5104.0,5975.0,1.0
pressure_coef,-5.851,2.508,-10.628,-0.931,0.038,0.024,4389.0,5464.0,1.0
wind_speed_coef,4.161,0.45,3.274,5.059,0.005,0.005,7060.0,6039.0,1.0
travel_speed_coef,0.115,0.269,-0.425,0.626,0.003,0.003,8835.0,6954.0,1.0
trend_coef,0.032,0.01,0.013,0.051,0.0,0.0,5097.0,6352.0,1.0
sigma,1.93,0.089,1.767,2.116,0.001,0.001,8014.0,6716.0,1.0
