,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.299,1.037,1.284,5.304,0.016,0.01,4126.0,5448.0,1.0
economic_coef,0.532,0.108,0.322,0.741,0.002,0.001,3677.0,4523.0,1.0
modelled_wind_coef,5.145,0.416,4.342,5.962,0.005,0.004,6638.0,6901.0,1.0
wind_coef_residual,-0.344,1.042,-2.37,1.715,0.011,0.011,8878.0,6821.0,1.0
travel_speed_coef,-0.337,0.274,-0.856,0.218,0.003,0.003,8428.0,7030.0,1.0
trend_coef,0.033,0.009,0.015,0.051,0.0,0.0,4180.0,5957.0,1.0
sigma,1.853,0.085,1.684,2.021,0.001,0.001,8638.0,6448.0,1.0
