,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2.589,0.744,1.12,4.001,0.011,0.007,4734.0,5904.0,1.0
economic_coef,0.889,0.048,0.796,0.982,0.001,0.0,5411.0,6556.0,1.0
pressure_coef,2.319,0.19,1.953,2.685,0.002,0.002,5777.0,6489.0,1.0
travel_speed_coef,-0.027,0.267,-0.548,0.495,0.003,0.003,7798.0,5629.0,1.0
sigma,1.875,0.087,1.71,2.05,0.001,0.001,6623.0,5461.0,1.0
