,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.038,2.686,2.936,13.569,0.038,0.028,4875.0,5755.0,1.0
economic_coef,0.876,0.052,0.775,0.978,0.001,0.001,9674.0,6733.0,1.0
pressure_coef,-6.375,2.464,-11.156,-1.506,0.034,0.025,5330.0,6030.0,1.0
tides_coef,-0.0,0.004,-0.008,0.006,0.0,0.0,11041.0,6590.0,1.0
wind_speed_coef,3.928,0.444,3.066,4.807,0.005,0.005,6785.0,6265.0,1.0
travel_speed_coef,0.073,0.276,-0.463,0.611,0.003,0.003,10690.0,6509.0,1.0
sigma,1.966,0.092,1.79,2.148,0.001,0.001,10425.0,7148.0,1.0
