,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.237,2.107,0.993,9.149,0.031,0.023,4484.0,4696.0,1.0
economic_coef,0.866,0.052,0.766,0.969,0.001,0.001,6756.0,6325.0,1.0
pressure_coef,-3.463,1.837,-7.057,0.161,0.026,0.019,4893.0,5081.0,1.0
wind_speed_coef,3.99,0.428,3.135,4.808,0.006,0.004,5920.0,6422.0,1.0
travel_speed_coef,0.064,0.272,-0.458,0.616,0.003,0.003,8025.0,6324.0,1.0
sigma,1.971,0.091,1.8,2.153,0.001,0.001,7127.0,6759.0,1.0
