,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.789,0.685,4.425,7.118,0.01,0.007,4678.0,5623.0,1.0
economic_coef,0.868,0.05,0.768,0.965,0.001,0.001,4717.0,5214.0,1.0
pc1_coef,1.056,0.09,0.881,1.234,0.001,0.001,7140.0,6811.0,1.0
pc2_coef,-1.235,0.441,-2.096,-0.379,0.005,0.005,9072.0,6678.0,1.0
sigma,1.877,0.088,1.711,2.054,0.001,0.001,8315.0,6101.0,1.0
