,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,11.163,6.533,-1.307,24.159,0.074,0.064,7719.0,7114.0,1.0
economic_coef_pop,0.555,0.111,0.338,0.772,0.001,0.001,10148.0,6932.0,1.0
economic_coef_wpc,0.522,0.469,-0.404,1.423,0.006,0.005,5992.0,6255.0,1.0
pressure_coef,2.427,0.198,2.046,2.821,0.002,0.002,10067.0,6809.0,1.0
trend_coef,0.034,0.026,-0.015,0.085,0.0,0.0,5903.0,6020.0,1.0
coef_gc_hadisst,-0.228,0.278,-0.754,0.323,0.003,0.003,7339.0,6205.0,1.0
coef_mdr_hadisst,0.009,0.236,-0.453,0.462,0.003,0.003,8556.0,6650.0,1.0
sigma,1.843,0.086,1.679,2.011,0.001,0.001,10075.0,6324.0,1.0
