,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.842,0.822,6.225,9.447,0.015,0.011,2834.0,3214.0,1.0
economic_coef,0.715,0.06,0.603,0.839,0.001,0.001,2785.0,3279.0,1.0
sigma,2.388,0.109,2.188,2.611,0.002,0.001,4730.0,4271.0,1.0
